composer_name,composer_name-href,song_name,song_name-href,title,type,instrumentation,key,collection,rcm_grade,abrsm_grade,henle_grade
"Lau, Kevin","http://www.classicalmusicdb.com/composers/view/299","» Joy","http://www.classicalmusicdb.com/musics/view/5294","Kevin Lau:Joy","null","null","null","null","Grade 10 Violin
 List C: Concert Repertoire","N/A","N/A"
"Gardiner, Mary","http://www.classicalmusicdb.com/composers/view/196","» Currents","http://www.classicalmusicdb.com/musics/view/1404","Mary Gardiner:Currentsfrom Collection: Short Circuits","null","- Piano Solo","null","Short Circuits","Grade 8 Piano
 List D: Post-Romantic, 20th, and 21st-century Repertoire","N/A","N/A"
"Kabalevsky, Dmitri Borisovich","http://www.classicalmusicdb.com/composers/view/70","» 'Grey Day' Variations on a Slovakian Folk-Song in D Minor, Op. 51, No. 3","http://www.classicalmusicdb.com/musics/view/1689","Dmitri Borisovich Kabalevsky:'Grey Day' Variations on a Slovakian Folk-Song in D Minor, Op. 51, No. 3from Collection: 5 Easy Variations for Piano, Op. 51","Variation","- Piano Solo","D Minor","5 Easy Variations for Piano, Op. 51","N/A","N/A","N/A"
"Stockhausen, Karlheinz","http://www.classicalmusicdb.com/composers/view/504","» Klavierstücke XII, No. 12","http://www.classicalmusicdb.com/musics/view/6177","Karlheinz Stockhausen:Klavierstücke XII, No. 12from Collection: Klavierstücke (Piano Pieces)","null","- Piano Solo","null","Klavierstücke (Piano Pieces)","Grade 12 (LRCM) Piano
 20th- and 21st-century Repertoire","N/A","N/A"
"Türk, Daniel Gottlob","http://www.classicalmusicdb.com/composers/view/444","» Sad Feelings","http://www.classicalmusicdb.com/musics/view/5763","Daniel Gottlob Türk:Sad Feelingsfrom Collection: Handstücke für angehende Klavierspieler, 1","null","- Piano Solo","null","Handstücke für angehende Klavierspieler, 1","Preparatory B Piano
 Repertoire","N/A","N/A"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Così dunque tradisci  (""Aspri rimorsi atroci"") in F Minor, KV  421a, K.  432","http://www.classicalmusicdb.com/musics/view/3703","Wolfgang Amadeus Mozart:Così dunque tradisci  (""Aspri rimorsi atroci"") in F Minor, KV  421a, K.  432","null","Voice & Orchestra","F Minor","null","N/A","N/A","N/A"
"Ohana, Maurice","http://www.classicalmusicdb.com/composers/view/497","» Prélude, No. 17, Très vif","http://www.classicalmusicdb.com/musics/view/6107","Maurice Ohana:Prélude, No. 17, Très viffrom Collection: 24 Préludes","Prélude","- Piano Solo","null","24 Préludes","Grade 12 (LRCM) Piano* (partial)
 20th- and 21st-century Repertoire
 »  complete préludes or any group of prélude","N/A","N/A"
"Morawetz, Oskar","http://www.classicalmusicdb.com/composers/view/163","» Duo","http://www.classicalmusicdb.com/musics/view/5532","Oskar Morawetz:Duo","null","Violin & Piano","null","null","Grade 11 (ARCT Performance) Violin
 List B: Sonatas","N/A","N/A"
"Gaviniès, Pierre","http://www.classicalmusicdb.com/composers/view/403","» Étude, No. 21","http://www.classicalmusicdb.com/musics/view/5386","Pierre Gaviniès:Étude, No. 21from Collection: 24 Études (Matinées)","Étude","Violin Solo","null","24 Études (Matinées)","Grade 10 Violin
 Etudes","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Waltz No.16 in C♯ Minor, Op. 39, No. 16","http://www.classicalmusicdb.com/musics/view/4109","Johannes Brahms:Waltz No.16 in C♯ Minor, Op. 39, No. 16from Collection: 16 Waltzes, Op. 39","Waltz","null","C♯ Minor","16 Waltzes, Op. 39","N/A","N/A","N/A"
"Gade, Niels","http://www.classicalmusicdb.com/composers/view/186","» Intermezzo, Op. 19, No. 8","http://www.classicalmusicdb.com/musics/view/1280","Niels Gade:Intermezzo, Op. 19, No. 8from Collection: Aquarelles, Op. 19","Intermezzo","- Piano Solo","null","Aquarelles, Op. 19","Grade 8 Piano
 List C: Romantic, 20th-, and 21st-century Repertoire","N/A","N/A"
"Rachmaninoff, Sergei","http://www.classicalmusicdb.com/composers/view/16","» Étude in A Minor, Op. 39, No. 6","http://www.classicalmusicdb.com/musics/view/1112","Sergei Rachmaninoff:Étude in A Minor, Op. 39, No. 6from Collection: Études-Tableaux (Study Pictures), Op. 39","Étude","- Piano Solo","A Minor","Études-Tableaux (Study Pictures), Op. 39","Grade 11 (ARCT Performance) Piano
 Concert Etudes
Grade 12 (LRCM) Piano
 Late 19th- and Early 20th-century Repertoire","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Waltz No.13 in B Major, Op. 39, No. 13","http://www.classicalmusicdb.com/musics/view/4107","Johannes Brahms:Waltz No.13 in B Major, Op. 39, No. 13from Collection: 16 Waltzes, Op. 39","Waltz","null","B Major","16 Waltzes, Op. 39","N/A","N/A","N/A"
"Holst, Gustav","http://www.classicalmusicdb.com/composers/view/294","» Turn back, O man","http://www.classicalmusicdb.com/musics/view/6384","Gustav Holst:Turn back, O manfrom Collection: Three Festival Choruses, Op. 36a","null","Chorus & Orchestra","null","Three Festival Choruses, Op. 36a","N/A","N/A","N/A"
"Haydn, Franz Joseph","http://www.classicalmusicdb.com/composers/view/8","» Variations  in F Minor, Op. Hob.XVII:6","http://www.classicalmusicdb.com/musics/view/6360","Franz Joseph Haydn:Variations  in F Minor, Op. Hob.XVII:6","Variation","- Piano Solo","F Minor","null","N/A","N/A","Level 6/7 (medium) Piano"
"Dussek, Jan Ladislav","http://www.classicalmusicdb.com/composers/view/50","» Sonatina in G Major, Op. 19/20, No. 1","http://www.classicalmusicdb.com/musics/view/438","Jan Ladislav Dussek:Sonatina in G Major, Op. 19/20, No. 1from Collection: Sechs Sonaten, Op. 19/20","Sonatina","- Piano Solo","G Major","Sechs Sonaten, Op. 19/20","Grade 6 Piano* (partial)
 List B: Classical and Classical-style Repertoire","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Wie komm ich denn zur Tür herein? (""Wie kumm ich dann de Pooz erenn""), WoO  33, No. 34","http://www.classicalmusicdb.com/musics/view/4669","Johannes Brahms:Wie komm ich denn zur Tür herein? (""Wie kumm ich dann de Pooz erenn""), WoO  33, No. 34","Song","Voice & Piano","null","null","N/A","N/A","N/A"
"Sarasate, Pablo de","http://www.classicalmusicdb.com/composers/view/396","» Playera, Op. 23, No. 1 (Danse espagnole No. 5)","http://www.classicalmusicdb.com/musics/view/5569","Pablo de Sarasate:Playera, Op. 23, No. 1 (Danse espagnole No. 5)","Dance","Violin & Piano","null","null","N/A","N/A","N/A"
"Fauré, Gabriel","http://www.classicalmusicdb.com/composers/view/23","» Nocturne No. 5 in B♭ Major, Op. 37","http://www.classicalmusicdb.com/musics/view/778","Gabriel Fauré:Nocturne No. 5 in B♭ Major, Op. 37","Nocturne","- Piano Solo","B♭ Major","null","Grade 11 (ARCT Performance) Piano
 List D: Post-Romantic and Early 20th-century Repertoire","N/A","N/A"
"Kreisler, Fritz","http://www.classicalmusicdb.com/composers/view/368","» Variations on a Theme of Corelli (in the Style of   Giuseppe Tartini)","http://www.classicalmusicdb.com/musics/view/5292","Fritz Kreisler:Variations on a Theme of Corelli (in the Style of   Giuseppe Tartini)","null","Violin & Piano","null","null","Grade 10 Violin
 List C: Concert Repertoire","N/A","N/A"
"Anonymous / Multiple,","http://www.classicalmusicdb.com/composers/view/75","» Ukrainian Folk Song","http://www.classicalmusicdb.com/musics/view/5105","Anonymous / Multiple:Ukrainian Folk Song","null","null","null","null","Grade 5 Violin
 List C: Concert Repertoire","N/A","N/A"
"Scriabin, Alexander","http://www.classicalmusicdb.com/composers/view/29","» Prélude in B♭ Major, Op. 11, No. 21, Andante","http://www.classicalmusicdb.com/musics/view/1504","Alexander Scriabin:Prélude in B♭ Major, Op. 11, No. 21, Andantefrom Collection: 24 Preludes, Op. 11","Prélude","- Piano Solo","B♭ Major","24 Preludes, Op. 11","N/A","N/A","N/A"
"Concone, Giuseppe","http://www.classicalmusicdb.com/composers/view/236","» Andante Cantabile","http://www.classicalmusicdb.com/musics/view/5174","Giuseppe Concone:Andante Cantabile","null","null","null","null","Grade 5 Violin
 Etudes","N/A","N/A"
"Mendelssohn, Felix","http://www.classicalmusicdb.com/composers/view/11","» Lieder ohne Worte in C Minor, Op. 38, No. 2, Allegro non troppo","http://www.classicalmusicdb.com/musics/view/1333","Felix Mendelssohn:Lieder ohne Worte in C Minor, Op. 38, No. 2, Allegro non troppofrom Collection: Lieder ohne Worte (Songs Without Words) Book 3, Op. 38","null","- Piano Solo","C Minor","Lieder ohne Worte (Songs Without Words) Book 3, Op. 38","Grade 9 Piano
 List C: Romantic Repertoire","N/A","N/A"
"Albéniz, Issac","http://www.classicalmusicdb.com/composers/view/14","» Zortzico, Op. 165, No. 6","http://www.classicalmusicdb.com/musics/view/1386","Issac Albéniz:Zortzico, Op. 165, No. 6from Collection: España, Op. 165","null","- Piano Solo","null","España, Op. 165","N/A","N/A","Level 3/4 (easy) Piano"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Hungarian Dance No.17 in F♯ Minor, WoO  1, No. 17","http://www.classicalmusicdb.com/musics/view/4541","Johannes Brahms:Hungarian Dance No.17 in F♯ Minor, WoO  1, No. 17","Dance","null","F♯ Minor","null","N/A","N/A","N/A"
"Tchaikovsky, Pyotr Ilyich","http://www.classicalmusicdb.com/composers/view/20","» May: Starlit Nights in G Major, No. 5, Andantion","http://www.classicalmusicdb.com/musics/view/231","Pyotr Ilyich Tchaikovsky:May: Starlit Nights in G Major, No. 5, Andantionfrom Collection: Die Jahreszeiten (The Seasons), Op. 37a","null","- Piano Solo","G Major","Die Jahreszeiten (The Seasons), Op. 37a","N/A","N/A","N/A"
"Bach, Johann Sebastian","http://www.classicalmusicdb.com/composers/view/5","» Little Prelude in C Major, BWV  939, No. 1","http://www.classicalmusicdb.com/musics/view/416","Johann Sebastian Bach:Little Prelude in C Major, BWV  939, No. 1from Collection: 5 Kleine Präludien (Five Little Preludes)","Prélude","- Piano Solo","C Major","5 Kleine Präludien (Five Little Preludes)","Grade 5 Piano
 List A: Baroque Repertoire","N/A","N/A"
"Schumann, Robert","http://www.classicalmusicdb.com/composers/view/13","» Toccata in C Major, Op. 7","http://www.classicalmusicdb.com/musics/view/5965","Robert Schumann:Toccata in C Major, Op. 7","Toccata","- Piano Solo","C Major","null","Grade 12 (LRCM) Piano
 Romantic Repertoire","N/A","N/A"
"Poulenc, Francis","http://www.classicalmusicdb.com/composers/view/35","» Improvisation No. 13 in A Minor, FP  170, No. 1, Allegro commodo","http://www.classicalmusicdb.com/musics/view/804","Francis Poulenc:Improvisation No. 13 in A Minor, FP  170, No. 1, Allegro commodo","null","- Piano Solo","A Minor","null","Grade 11 (ARCT Performance) Piano
 List D: Post-Romantic and Early 20th-century Repertoire","N/A","N/A"
"Debussy, Claude","http://www.classicalmusicdb.com/composers/view/15","» Masques","http://www.classicalmusicdb.com/musics/view/2289","Claude Debussy:Masques","null","- Piano Solo","null","null","N/A","N/A","Level 6/7 (medium) Piano"
"Hook, James","http://www.classicalmusicdb.com/composers/view/437","» Allegretto in C Major, Op. 81, No. 4","http://www.classicalmusicdb.com/musics/view/6221","James Hook:Allegretto in C Major, Op. 81, No. 4from Collection: Guida di Musica, Op. 81","null","- Piano Solo","C Major","Guida di Musica, Op. 81","Grade 1 Piano
 List A: Baroque and Classical Repertoire","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Grausam erweiset sich Amor an mir, Op. 113, No. 2","http://www.classicalmusicdb.com/musics/view/4473","Johannes Brahms:Grausam erweiset sich Amor an mir, Op. 113, No. 2from Collection: Canons, Op. 113","null","Female Chorus","null","Canons, Op. 113","N/A","N/A","N/A"
"Bach, Johann Sebastian","http://www.classicalmusicdb.com/composers/view/5","» Prelude and Fugue No. 11 in F Major, BWV  880","http://www.classicalmusicdb.com/musics/view/159","Johann Sebastian Bach:Prelude and Fugue No. 11 in F Major, BWV  880from Collection: Das Wohltemperierte Klavier II (The Well-Tempered Clavier 2)","Prelude and Fugue","- Piano Solo","F Major","Das Wohltemperierte Klavier II (The Well-Tempered Clavier 2)","Grade 11 (ARCT Performance) Piano
 List A: Works of J.S. Bach","Grade 9 (DipABRSM) Piano","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Röslein dreie in der Reihe blühn so rot, Op. 103, No. 6","http://www.classicalmusicdb.com/musics/view/4424","Johannes Brahms:Röslein dreie in der Reihe blühn so rot, Op. 103, No. 6from Collection: Zigeunerlieder, Op. 103","Lied","null","null","Zigeunerlieder, Op. 103","N/A","N/A","N/A"
"Haydn, Franz Joseph","http://www.classicalmusicdb.com/composers/view/8","» German Dance in C Major, Hob.  XVI:12, No. 4","http://www.classicalmusicdb.com/musics/view/312","Franz Joseph Haydn:German Dance in C Major, Hob.  XVI:12, No. 4","null","- Piano Solo","C Major","null","N/A","Grade 3 Piano
 List A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Neue Liebeslieder Waltz No.09 in G Minor, Op. 65a, No. 9","http://www.classicalmusicdb.com/musics/view/4291","Johannes Brahms:Neue Liebeslieder Waltz No.09 in G Minor, Op. 65a, No. 9","Waltz","null","G Minor","null","N/A","N/A","N/A"
"Cimarosa, Domenico","http://www.classicalmusicdb.com/composers/view/184","» Piano Sonata in B♭ Major, No. 27","http://www.classicalmusicdb.com/musics/view/1257","Domenico Cimarosa:Piano Sonata in B♭ Major, No. 27","Sonata","- Piano Solo","B♭ Major","null","Grade 8 Piano
 List B: Classical and Classical-style Repertoire","N/A","N/A"
"Bartók, Béla","http://www.classicalmusicdb.com/composers/view/18","» Roumanian Folk Dances, Sz.  56, BB  76","http://www.classicalmusicdb.com/musics/view/2069","Béla Bartók:Roumanian Folk Dances, Sz.  56, BB  76","Dance","- Piano Solo","null","null","Grade 10 Piano
 List E: 20th- and 21st-century Repertoire","N/A","N/A"
"Franck, César","http://www.classicalmusicdb.com/composers/view/148","» Violin Sonata in A Major","http://www.classicalmusicdb.com/musics/view/5527","César Franck:Violin Sonata in A Major","Sonata","Violin & Piano","A Major","null","Grade 11 (ARCT Performance) Violin* (partial)
 List B: Sonatas
 »  2 contrasting movements","N/A","N/A"
"Gedike, Aleksandr Fyodorovich","http://www.classicalmusicdb.com/composers/view/67","» A Sad Song, Op. 36, No. 39","http://www.classicalmusicdb.com/musics/view/6248","Aleksandr Fyodorovich Gedike:A Sad Song, Op. 36, No. 39from Collection: 60 Simple Piano Pieces for Beginners, Op. 36","null","- Piano Solo","null","60 Simple Piano Pieces for Beginners, Op. 36","Grade 1 Piano
 List B: Romantic, 20th-, and 21st-century Repertoire","N/A","N/A"
"Chopin, Frédéric","http://www.classicalmusicdb.com/composers/view/1","» Waltz in E Major, KK  IVa/12","http://www.classicalmusicdb.com/musics/view/2263","Frédéric Chopin:Waltz in E Major, KK  IVa/12","Waltz","- Piano Solo","E Major","null","N/A","N/A","Level 4/5 (medium) Piano"
"Liszt, Franz","http://www.classicalmusicdb.com/composers/view/3","» Étude in G Minor, No. 1 (Tremolo)","http://www.classicalmusicdb.com/musics/view/1032","Franz Liszt:Étude in G Minor, No. 1 (Tremolo)from Collection: Études d'exécution transcendante d'après Paganini, S. 140","Étude","- Piano Solo","G Minor","Études d'exécution transcendante d'après Paganini, S. 140","Grade 11 (ARCT Performance) Piano
 Concert Etudes","N/A","N/A"
"Wesley, Samuel","http://www.classicalmusicdb.com/composers/view/89","» Piano Sonata in A Major, Op. 5, No. 1","http://www.classicalmusicdb.com/musics/view/313","Samuel Wesley:Piano Sonata in A Major, Op. 5, No. 1from Collection: Four Sonatas and Two Duets for the Piano Forte, Op. 5","Sonata","- Piano Solo","A Major","Four Sonatas and Two Duets for the Piano Forte, Op. 5","Grade 5 Piano* (partial)
 List B: Classical and Classical-style Repertoire","Grade 3 Piano* (partial)
 List A","N/A"
"Bach, Johann Sebastian","http://www.classicalmusicdb.com/composers/view/5","» Concerto for Violin and Oboe in C Minor","http://www.classicalmusicdb.com/musics/view/4994","Johann Sebastian Bach:Concerto for Violin and Oboe in C Minor","Concerto","null","C Minor","null","N/A","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Neue Liebeslieder Waltz No.05 in D Minor, Op. 65a, No. 5","http://www.classicalmusicdb.com/musics/view/4287","Johannes Brahms:Neue Liebeslieder Waltz No.05 in D Minor, Op. 65a, No. 5","Waltz","null","D Minor","null","N/A","N/A","N/A"
"Method Book,","http://www.classicalmusicdb.com/composers/view/429","» Good-bye to Winter","http://www.classicalmusicdb.com/musics/view/5872","Method Book:Good-bye to Winterfrom Collection: Suzuki Piano School, rev. ed.","null","- Piano Solo","null","Suzuki Piano School, rev. ed.","Preparatory B Piano
 Repertoire from Method Books","N/A","N/A"
"Grieg, Edvard","http://www.classicalmusicdb.com/composers/view/10","» Trolltog (March of the Dwarfs), Op. 54, No. 3","http://www.classicalmusicdb.com/musics/view/1965","Edvard Grieg:Trolltog (March of the Dwarfs), Op. 54, No. 3from Collection: Lyric Pieces, Op. 54","null","- Piano Solo","null","Lyric Pieces, Op. 54","N/A","N/A","Level 6 (medium) Piano"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Es traumte mir, ich sei dir teuer in B Major, Op. 57, No. 3","http://www.classicalmusicdb.com/musics/view/4214","Johannes Brahms:Es traumte mir, ich sei dir teuer in B Major, Op. 57, No. 3from Collection: 8 Lieder and Songs, Op. 57","Song","Voice & Piano","B Major","8 Lieder and Songs, Op. 57","N/A","N/A","N/A"
